Count | Text | Depth | URL
81 | meteor impact | 1 | https://en.wikipedia.org/wiki/Impact_event
82 | Indian Ocean | 1 | https://en.wikipedia.org/wiki/Indian_Ocean
83 | flood myths | 1 | https://en.wikipedia.org/wiki/Flood_(mythology)
84 | Herodotus | 1 | https://en.wikipedia.org/wiki/Herodotus
85 | Thales of Miletus | 1 | https://en.wikipedia.org/wiki/Thales
86 | an eclipse that occurred during a battle | 1 | https://en.wikipedia.org/wiki/Eclipse_of_Thales
87 | Medes | 1 | https://en.wikipedia.org/wiki/Medes
88 | Lydians | 1 | https://en.wikipedia.org/wiki/Lydia
89 | Halys | 1 | https://en.wikipedia.org/wiki/Halys_River
90 | Asia Minor | 1 | https://en.wikipedia.org/wiki/Asia_Minor
91 | Xerxes | 1 | https://en.wikipedia.org/wiki/Xerxes_I
92 | Greece | 1 | https://en.wikipedia.org/wiki/Ancient_Greece
93 | John Russell Hind | 1 | https://en.wikipedia.org/wiki/John_Russell_Hind
94 | Sardis | 1 | https://en.wikipedia.org/wiki/Sardis
95 | Sparta | 1 | https://en.wikipedia.org/wiki/Sparta
96 | Second Persian invasion of Greece | 1 | https://en.wikipedia.org/wiki/Second_Persian_invasion_of_Greece
97 | Shi Shen | 1 | https://en.wikipedia.org/wiki/Shi_Shen
98 | Wang Chong | 1 | https://en.wikipedia.org/wiki/Wang_Chong
99 | Parmenides | 1 | https://en.wikipedia.org/wiki/Parmenides
100 | Aristotle | 1 | https://en.wikipedia.org/wiki/Aristotle
101 | Good Friday | 1 | https://en.wikipedia.org/wiki/Good_Friday
102 | darkness described at Jesus's crucifixion | 1 | https://en.wikipedia.org/wiki/Crucifixion_darkness_and_eclipse
103 | Passover | 1 | https://en.wikipedia.org/wiki/Passover
104 | Constantinople | 1 | https://en.wikipedia.org/wiki/Constantinople
105 | Edmund Halley | 1 | https://en.wikipedia.org/wiki/Edmund_Halley
106 | solar eclipse of May 3, 1715 | 1 | https://en.wikipedia.org/wiki/Solar_eclipse_of_May_3,_1715
107 | 1842 | 1 | https://en.wikipedia.org/wiki/Solar_eclipse_of_July_8,_1842
108 | daguerreotype | 1 | https://en.wikipedia.org/wiki/Daguerreotype
109 | solar eclipse of July 28, 1851 | 1 | https://en.wikipedia.org/wiki/Solar_eclipse_of_July_28,_1851
110 | Spectroscope | 1 | https://en.wikipedia.org/wiki/Spectroscope
111 | solar eclipse of August 18, 1868 | 1 | https://en.wikipedia.org/wiki/Solar_eclipse_of_August_18,_1868
112 | John Fiske | 1 | https://en.wikipedia.org/wiki/John_Fiske_(philosopher)
113 | damage | 1 | https://en.wikipedia.org/wiki/Solar_retinopathy
114 | retina | 1 | https://en.wikipedia.org/wiki/Retina
115 | blindness | 1 | https://en.wikipedia.org/wiki/Blindness
116 | Eclipse glasses | 1 | https://en.wikipedia.org/wiki/Solar_viewer
117 | floppy disk | 1 | https://en.wikipedia.org/wiki/Floppy_disk
118 | Compact Disc | 1 | https://en.wikipedia.org/wiki/Compact_Disc
119 | pinhole camera | 1 | https://en.wikipedia.org/wiki/Pinhole_camera
120 | sunspots | 1 | https://en.wikipedia.org/wiki/Sunspot
121 | video camera | 1 | https://en.wikipedia.org/wiki/Video_camera
122 | digital camera | 1 | https://en.wikipedia.org/wiki/Digital_camera
123 | Baily's beads | 1 | https://en.wikipedia.org/wiki/Baily%27s_beads
124 | chromosphere | 1 | https://en.wikipedia.org/wiki/Chromosphere
125 | solar flare | 1 | https://en.wikipedia.org/wiki/Solar_flare
126 | solar eclipse on August 1, 2008 | 1 | https://en.wikipedia.org/wiki/Solar_eclipse_of_August_1,_2008
127 | Novosibirsk | 1 | https://en.wikipedia.org/wiki/Novosibirsk
128 | Russia | 1 | https://en.wikipedia.org/wiki/Russia
129 | long focus lens | 1 | https://en.wikipedia.org/wiki/Long_focus_lens
130 | solar cycle | 1 | https://en.wikipedia.org/wiki/Solar_cycle
131 | shadow bands | 1 | https://en.wikipedia.org/wiki/Shadow_bands
132 | anisotropic | 1 | https://en.wikipedia.org/wiki/Anisotropy
133 | Einstein | 1 | https://en.wikipedia.org/wiki/Albert_Einstein
134 | general relativity | 1 | https://en.wikipedia.org/wiki/General_relativity
135 | solar eclipse of May 29, 1919 | 1 | https://en.wikipedia.org/wiki/Solar_eclipse_of_May_29,_1919
136 | Taurus | 1 | https://en.wikipedia.org/wiki/Taurus_(constellation)
137 | Arthur Eddington | 1 | https://en.wikipedia.org/wiki/Arthur_Eddington
138 | theoretical predictions | 1 | https://en.wikipedia.org/wiki/Predictive_power
139 | gravitational lenses | 1 | https://en.wikipedia.org/wiki/Gravitational_lens
140 | Maurice Allais | 1 | https://en.wikipedia.org/wiki/Maurice_Allais
141 | Allais effect | 1 | https://en.wikipedia.org/wiki/Allais_effect
142 | Saxl | 1 | https://en.wikipedia.org/wiki/Erwin_Saxl
143 | Allen | 1 | https://en.wikipedia.org/wiki/Mildred_Allen
144 | gravitational shielding | 1 | https://en.wikipedia.org/wiki/Gravitational_shielding
145 | transit | 1 | https://en.wikipedia.org/wiki/Astronomical_transit
146 | transit of Mercury | 1 | https://en.wikipedia.org/wiki/Transit_of_Mercury
147 | transit of Venus | 1 | https://en.wikipedia.org/wiki/Transit_of_Venus
148 | conjunction | 1 | https://en.wikipedia.org/wiki/Astronomical_conjunction
149 | Vulcan | 1 | https://en.wikipedia.org/wiki/Vulcan_(hypothetical_planet)
150 | earthshine | 1 | https://en.wikipedia.org/wiki/Earthshine
151 | phase | 1 | https://en.wikipedia.org/wiki/Lunar_phase
152 | Turkey | 1 | https://en.wikipedia.org/wiki/Turkey
153 | Cyprus | 1 | https://en.wikipedia.org/wiki/Cyprus
154 | ISS | 1 | https://en.wikipedia.org/wiki/International_Space_Station
155 | 2006 total solar eclipse | 1 | https://en.wikipedia.org/wiki/Solar_eclipse_of_March_29,_2006
156 | Gemini 12 | 1 | https://en.wikipedia.org/wiki/Gemini_12
157 | Mir | 1 | https://en.wikipedia.org/wiki/Mir
158 | Apollo–Soyuz Test Project | 1 | https://en.wikipedia.org/wiki/Apollo%E2%80%93Soyuz_Test_Project
159 | solar corona | 1 | https://en.wikipedia.org/wiki/Solar_corona
160 | solar eclipse of March 20, 2015 | 1 | https://en.wikipedia.org/wiki/Solar_eclipse_of_March_20,_2015
161 | continental Europe | 1 | https://en.wikipedia.org/wiki/Synchronous_grid_of_Continental_Europe
162 | Great Britain | 1 | https://en.wikipedia.org/wiki/National_Grid_(Great_Britain)
163 | gigawatts | 1 | https://en.wikipedia.org/wiki/Gigawatt
164 | solar power | 1 | https://en.wikipedia.org/wiki/Solar_power
165 | wind power | 1 | https://en.wikipedia.org/wiki/Wind_power
166 | node of the Moon | 1 | https://en.wikipedia.org/wiki/Lunar_node
167 | lunations | 1 | https://en.wikipedia.org/wiki/Lunation
168 | saros | 1 | https://en.wikipedia.org/wiki/Saros_(astronomy)
169 | February 15, 2018 | 1 | https://en.wikipedia.org/wiki/Solar_eclipse_of_February_15,_2018
170 | Besselian elements | 1 | https://en.wikipedia.org/wiki/Besselian_elements
171 | Black Sun (mythology) | 1 | https://en.wikipedia.org/wiki/Black_Sun_(mythology)
172 | Eclipse chasing | 1 | https://en.wikipedia.org/wiki/Eclipse_chasing
173 | Solar eclipses in fiction | 1 | https://en.wikipedia.org/wiki/Solar_eclipses_in_fiction
174 | Solar eclipses on the Moon | 1 | https://en.wikipedia.org/wiki/Solar_eclipses_on_the_Moon
175 | Transit of Deimos from Mars | 1 | https://en.wikipedia.org/wiki/Transit_of_Deimos_from_Mars
176 | Transit of Phobos from Mars | 1 | https://en.wikipedia.org/wiki/Transit_of_Phobos_from_Mars
177 | ISBN | 1 | https://en.wikipedia.org/wiki/International_Standard_Book_Number
178 | Fred Espenak | 1 | https://en.wikipedia.org/wiki/Fred_Espenak
179 | Wayback Machine | 1 | https://en.wikipedia.org/wiki/Wayback_Machine
180 | European Space Agency | 1 | https://en.wikipedia.org/wiki/European_Space_Agency
181 | Bibcode | 1 | https://en.wikipedia.org/wiki/Bibcode
